"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"Scuola dell'infanzia di Cles";"Scuola dell'Infanzia di Cles";;Paritaria/equiparata;;;"ILARIA MANCINI";"Via Mattioli, 13 38023";CLES;0463-625164;;cles.presidente@fpsm.tn.it;;cles.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Cloz e Brez";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ILARIA MANCINI";"Via di S Stefano, 2/A 38028";NOVELLA;0463-1980632;;cloz.brez.presidente@fpsm.tn.it;;cloz.brez.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Cloz e Brez";"Scuola dell'Infanzia di Cloz e Brez";;Paritaria/equiparata;;;"ILARIA MANCINI";"Via di S Stefano, 2/A 38028";NOVELLA;0463-1980632;;cloz.brez.presidente@fpsm.tn.it;;cloz.brez.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Condino";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Roma - Condino, 37 38083";"BORGO CHIESE";0465-621009;;condino.presidente@fpsm.tn.it;;condino.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Condino";"Scuola dell'Infanzia di Condino";;Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Roma - Condino, 37 38083";"BORGO CHIESE";0465-621009;;condino.presidente@fpsm.tn.it;;condino.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Coredo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ILARIA MANCINI";"Via delle antiche fontane - Coredo, 20 38012";PREDAIA;0463-536416;;coredo.segretario@fpsm.tn.it;;coredo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Coredo";"Scuola dell'Infanzia di Coredo";;Paritaria/equiparata;;;"ILARIA MANCINI";"Via delle antiche fontane - Coredo, 20 38012";PREDAIA;0463-536416;;coredo.segretario@fpsm.tn.it;;coredo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Cristo Re -Trento";;"Scuola dell'infanzia";Paritaria/equiparata;;;"CARMEN FATTORI";"Via Bresadola, 6 38121";TRENTO;0461-823359;;trento.cristore.segretario@fpsm.tn.it;;trento.cristore.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Cristo Re -Trento";"Scuola dell'Infanzia di Cristo Re -Trento";;Paritaria/equiparata;;;"CARMEN FATTORI";"Via Bresadola, 6 38121";TRENTO;0461-823359;;trento.cristore.segretario@fpsm.tn.it;;trento.cristore.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Crosano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SILVANO MEDVES";"Via S Biagio, 30 38060";BRENTONICO;0464-395693;;crosano.segretario@fpsm.tn.it;;crosano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Crosano";"Scuola dell'Infanzia di Crosano";;Paritaria/equiparata;;;"SILVANO MEDVES";"Via S Biagio, 30 38060";BRENTONICO;0464-395693;;crosano.segretario@fpsm.tn.it;;crosano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Dimaro";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA BERTOLAS";"Via Alla Chiesa - Dimaro, 26 38025";"DIMARO FOLGARIDA";0463-974301;;dimaro.contabile@fpsm.tn.it;;dimaro.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Dimaro";"Scuola dell'Infanzia di Dimaro";;Paritaria/equiparata;;;"ROBERTA BERTOLAS";"Via Alla Chiesa - Dimaro, 26 38025";"DIMARO FOLGARIDA";0463-974301;;dimaro.contabile@fpsm.tn.it;;dimaro.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Faver";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via Perlaia - Faver, 17 38030";ALTAVALLE;"328 7310914";;faver.presidente@fpsm.tn.it;;faver.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Faver";"Scuola dell'Infanzia di Faver";;Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via Perlaia - Faver, 17 38030";ALTAVALLE;"328 7310914";;faver.presidente@fpsm.tn.it;;faver.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Fiavè";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LORENZO SANTORUM";"Piazza S Sebastiano, 24 38075";FIAVE';0465-735129;;fiave.contabile@fpsm.tn.it;;fiave.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Fiavè";"Scuola dell'Infanzia di Fiavè";;Paritaria/equiparata;;;"LORENZO SANTORUM";"Piazza S Sebastiano, 24 38075";FIAVE';0465-735129;;fiave.contabile@fpsm.tn.it;;fiave.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Fiera di Primiero";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Viale Marconi - Pieve, 1 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439-762196;0439764911;fiera.presidente@fpsm.tn.it;;fiera.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Fiera di Primiero";"Scuola dell'Infanzia di Fiera di Primiero";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Viale Marconi - Pieve, 1 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439-762196;0439764911;fiera.presidente@fpsm.tn.it;;fiera.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Fornace";;"Scuola dell'infanzia";Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via Del Borgolet, 16 38040";FORNACE;0461-849351;;fornace.presidente@fpsm.tn.it;;fornace.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Fornace";"Scuola dell'Infanzia di Fornace";;Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via Del Borgolet, 16 38040";FORNACE;0461-849351;;fornace.presidente@fpsm.tn.it;;fornace.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Gardolo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"CARMEN FATTORI";"Via S Anna, 9 38121";TRENTO;0461-990296;;gardolo.segretario@fpsm.tn.it;;gardolo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Gardolo";"Scuola dell'Infanzia di Gardolo";;Paritaria/equiparata;;;"CARMEN FATTORI";"Via S Anna, 9 38121";TRENTO;0461-990296;;gardolo.segretario@fpsm.tn.it;;gardolo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ghiaie di Gardolo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"CARMEN FATTORI";"Via del Loghét, 69 38121";TRENTO;0461-990050;;ghiaie.segretario@fpsm.tn.it;;ghiaie.segretario@fpsm.tn.it;;
"Coordinamento pedagogico scuole provinciali dell'infanzia ladine";"Scuola dell'Infanzia di Canazei ""Don Simone Micheluzzi de Ciciol""";;"A carattere statale/provinciale";;;"TATIANA SORAPERRA";"Via de Magoa, 24 38032";"CANAZEI - CIANACEI";0462/601631;0462/760001;scuolainfanzia.canazei@scuole.provincia.tn.it;;coordinamento.scuoleladine@provincia.tn.it;;
"Coordinamento pedagogico scuole provinciali dell'infanzia ladine";"Scuola dell'Infanzia di Soraga";;"A carattere statale/provinciale";;;"TATIANA SORAPERRA";"Strada Dolomites, 19 38030";"SORAGA - SORAGA";0462/768277;0462/760001;scuolainfanzia.soraga@scuole.provincia.tn.it;;coordinamento.scuoleladine@provincia.tn.it;;
"Circolo di coordinamento n. 4";"Scuola dell'Infanzia di Trento  Ravina  ""Girotondo""";;"A carattere statale/provinciale";;;"RITA FERENZENA";"Via Per Belvedere, 8 38123";TRENTO;0461/922216;0461/496950;scuolainfanzia.ravina@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Circolo di coordinamento n. 4";"Scuola dell'Infanzia di Trento  Romagnano  ""Gli Gnomi del Bosco""";;"A carattere statale/provinciale";;;"RITA FERENZENA";"Via Delle Prede, 2 38123";TRENTO;0461/349153;0461/496950;scuolainfanzia.romagnano@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Circolo di coordinamento n. 7";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via Filos, 2 38017";MEZZOLOMBARDO;0461/494331;0461/494334;circolo.coordinamento07@provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Cavedago  ""L'albero azzurro""";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Piazza S Lorenzo, 2 38010";CAVEDAGO;0461/654340;0461/494334;scuolainfanzia.cavedago@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Cles  ""Casa del sole""";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via Dallafior, 36 38023";CLES;0463/421760;0461/494334;scuolainfanzia.cles@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Cunevo";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via Delle Scuole - Cunevo, 6 38010";CONTÁ;0461/652520;0461/494334;scuolainfanzia.cunevo@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Fai Paganella";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via Villa, 43 38010";"FAI DELLA PAGANELLA";0461/583360;0461/494334;scuolainfanzia.fai@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Rallo di Tassullo  ""Nuovo germoglio""";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via Fratelli Pinamonti - Rallo - Tassullo,   38019";"VILLE D'ANAUNIA";0463/451568;0461/494334;scuolainfanzia.rallo@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Revò ""I girasoli""";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via Canestrini, 9/A 38028";NOVELLA;0463/431044;0461/494334;scuolainfanzia.revo@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Roverè della Luna";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via Villotta, 10 38030";"ROVERE' DELLA LUNA";0461/658519;0461/494334;scuolainfanzia.roveredellaluna@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Sporminore ""Fratelli Remondini""";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Piazza Anaunia, 2 38010";SPORMINORE;0461/641186;0461/494334;scuolainfanzia.sporminore@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Vervò  ""Il bosco degli gnomi""";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via Castel Vervassium - Vervo, 7 38012";PREDAIA;0463/463314;0461/494334;scuolainfanzia.vervo@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Pellizzano ""Antonio Bontempelli""";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via Dei Baschenis, 3 38020";PELLIZZANO;"0463 751953";0461/491940;scuolainfanzia.pellizzano@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Scuola dell'infanzia di Spormaggiore";;"Scuola dell'infanzia";Paritaria/equiparata;;;"UTE PANCHER";"Via dell Asilo, 2 38010";SPORMAGGIORE;" 0461 1827171";;spormaggiore.contabile@fpsm.tn.it;;spormaggiore.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Spormaggiore";"Scuola dell'Infanzia di Spormaggiore";;Paritaria/equiparata;;;"UTE PANCHER";"Via dell Asilo, 2 38010";SPORMAGGIORE;" 0461 1827171";;spormaggiore.contabile@fpsm.tn.it;;spormaggiore.segretario@fpsm.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Livo ""Battito d'ali""";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via Marconi, 17 38020";LIVO;0463/533522;0461/491940;scuolainfanzia.livo@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 10";"Scuola dell'Infanzia di Nogaredo";;"A carattere statale/provinciale";;;"GINEVRA RELLA";"Via Verdi, 38 38060";NOGAREDO;0464/411244;0464/493115;scuolainfanzia.nogaredo@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;
"Circolo di coordinamento n. 10";"Scuola dell'Infanzia di Calliano ""Matite colorate""";;"A carattere statale/provinciale";;;"GINEVRA RELLA";"Via III Novembre, 33 38060";CALLIANO;0464/835165;0464/493115;scuolainfanzia.calliano@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;
"Circolo di coordinamento n. 10";"Scuola dell'Infanzia di Rovereto Rione Nord ""Mille colori""";;"A carattere statale/provinciale";;;"GINEVRA RELLA";"Via Chiocchetti, 1 38068";ROVERETO;0464/435355;0464/493115;scuolainfanzia.rionenord@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;
"Circolo di coordinamento n. 10";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"GINEVRA RELLA";"Viale Trento, 37/E 38068";ROVERETO;0464/493114;0464/493115;circolo.coordinamento10@provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;
"Circolo di coordinamento n. 10";"Scuola dell'Infanzia di Rovereto  S.Ilario ""Amici della scuola""";;"A carattere statale/provinciale";;;"GINEVRA RELLA";"Via Monti, 4A 38068";ROVERETO;0464/411901;0464/493115;scuolainfanzia.santilario@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Monclassico";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via Berera - Monclassico, 6 38025";"DIMARO FOLGARIDA";0463/974606;0461/491940;scuolainfanzia.monclassico@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Rabbi";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Frazione Pracorno, 98/B 38020";RABBI;0463/902652;0461/491940;scuolainfanzia.rabbi@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 3";"Scuola dell'Infanzia di Trento  ""Crosina Sartori""";;"A carattere statale/provinciale";;;"CHIARA NADALON";"Via Gocciadoro, 84 38122";TRENTO;0461/925679;0461/497257;scuolainfanzia.crosina@scuole.provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;
"Circolo di coordinamento n. 10";"Scuola dell'Infanzia di Besenello";;"A carattere statale/provinciale";;;"GINEVRA RELLA";"Via Vanzetti, 3 38060";BESENELLO;0464/834946;0464/493115;scuolainfanzia.besenello@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Terzolas ""Caterina Graifenberg""";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via Kessler, 23 38027";TERZOLAS;0463/901977;0461/491940;scuolainfanzia.terzolas@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Romeno  ""Città della gioia""";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via Monsignor Rosati, 6 38010";ROMENO;0463/875195;0461/491940;scuolainfanzia.romeno@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 10";"Scuola dell'Infanzia di Rovereto Brione";;"A carattere statale/provinciale";;;"GINEVRA RELLA";"Via Puccini, 26 38068";ROVERETO;0464/412892;0464/493115;scuolainfanzia.brione@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Castelfondo";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via Madonna Pellegrina, 5 38020";"BORGO D'ANAUNIA";0463/889189;0461/491940;scuolainfanzia.castelfondo@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Mione Rumo";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Frazione Mione, 54 38020";RUMO;0463/530420;0461/491940;scuolainfanzia.rumo@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 3";"Scuola dell'Infanzia di Trento  Povo ""M.C. Conotter""";;"A carattere statale/provinciale";;;"CHIARA NADALON";"Via Della Resistenza, 48 38123";TRENTO;0461/810574;0461/497257;scuolainfanzia.povo@scuole.provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;
"Circolo di coordinamento n. 3";"Scuola dell'Infanzia di Trento S.Martino";;"A carattere statale/provinciale";;;"CHIARA NADALON";"Via della Predara, 16 38121";TRENTO;0461/237516;0461/497257;scuolainfanzia.sanmartino@scuole.provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Mezzana ""A. Ravelli""";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via Manzoni, 22 38020";MEZZANA;0463/756018;0461/491940;scuolainfanzia.mezzana@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 3";"Scuola dell'Infanzia di Trento  ""Gianni Rodari""";;"A carattere statale/provinciale";;;"CHIARA NADALON";"Via Giovanelli, 6 38122";TRENTO;0461/986198;0461/497257;scuolainfanzia.rodari@scuole.provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Ruffrè";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Maso Lana, 3 38010";"RUFFRE' - MENDOLA";0463/870011;0461/491940;scuolainfanzia.ruffre@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Cogolo";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via Roma, 83 38024";PEIO;0463/754108;0461/491940;scuolainfanzia.cogolo@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Sarnonico ""Giardino dei sogni""";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Viale S Lorenzo, 6 38011";SARNONICO;0463/831603;0461/491940;scuolainfanzia.sarnonico@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 3";"Scuola dell'Infanzia di Trento Clarina   ""Piccolo mondo""";;"A carattere statale/provinciale";;;"CHIARA NADALON";"Via Gramsci, 11 38123";TRENTO;0461/925726;0461/497257;scuolainfanzia.piccolomondo@scuole.provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;
"Scuola dell'infanzia di Predazzo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SARA DE ZOLT";"Via Gabrielli, 1 38037";PREDAZZO;0462-501312;;predazzo.presidente@fpsm.tn.it;;predazzo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Predazzo";"Scuola dell'Infanzia di Predazzo";;Paritaria/equiparata;;;"SARA DE ZOLT";"Via Gabrielli, 1 38037";PREDAZZO;0462-501312;;predazzo.presidente@fpsm.tn.it;;predazzo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento ""G. B. Zanella ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ALESSANDRA BIANCHI";"Via Gar, 1 38122";TRENTO;0461-233744;0461-233744;segreteria@gbzanella.it;;;;
"Scuola dell'infanzia di Cavalese";;"Scuola dell'infanzia";Paritaria/equiparata;;;"TIZIANA CEOL";"Via Regolani, 4 38033";CAVALESE;0462-341673;;cavalese.segretario@fpsm.tn.it;;cavalese.presidente@fpsm.tn.it;;
"Scuola dell'infanzia di Cavalese";"Scuola dell'Infanzia di Cavalese";;Paritaria/equiparata;;;"TIZIANA CEOL";"Via Regolani, 4 38033";CAVALESE;0462-341673;;cavalese.segretario@fpsm.tn.it;;cavalese.presidente@fpsm.tn.it;;
"Scuola dell'infanzia di Ziano di Fiemme";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SARA DE ZOLT";"Piazza Italia, 8 38030";"ZIANO DI FIEMME";3703621992;;ziano.presidente@fpsm.tn.it;;ziano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ziano di Fiemme";"Scuola dell'Infanzia di Ziano di Fiemme";;Paritaria/equiparata;;;"SARA DE ZOLT";"Piazza Italia, 8 38030";"ZIANO DI FIEMME";3703621992;;ziano.presidente@fpsm.tn.it;;ziano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ospedaletto";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via  Don Tosi, 14 38050";OSPEDALETTO;"347 0362437";;ospedaletto.presidente@fpsm.tn.it;;ospedaletto.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Castelnuovo";"Scuola dell'Infanzia di Castelnuovo";;Paritaria/equiparata;;;"PAOLA SANGIORGI";"Piazza Municipio, 2 38050";CASTELNUOVO;0461-753637;;entesantamargherita@gmail.com;;castelnuovo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ospedaletto";"Scuola dell'Infanzia di Ospedaletto";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via  Don Tosi, 14 38050";OSPEDALETTO;"347 0362437";;ospedaletto.presidente@fpsm.tn.it;;ospedaletto.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Tuenno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"UTE PANCHER";"Via Marconi - Tuenno, 2 38019";"VILLE D'ANAUNIA";0463-451238;;tuenno.segretario@fpsm.tn.it;;tuenno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Castelnuovo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAOLA SANGIORGI";"Piazza Municipio, 2 38050";CASTELNUOVO;0461-753637;;entesantamargherita@gmail.com;;castelnuovo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Tuenno";"Scuola dell'Infanzia di Tuenno";;Paritaria/equiparata;;;"UTE PANCHER";"Via Marconi - Tuenno, 2 38019";"VILLE D'ANAUNIA";0463-451238;;tuenno.segretario@fpsm.tn.it;;tuenno.segretario@fpsm.tn.it;;
"Circolo di coordinamento n. 5";"Scuola dell'Infanzia di Trento Gardolo Paludi  ""Biancaneve""";;"A carattere statale/provinciale";;;"MARTINA BASSETTI";"Via Paludi, 9/1 38121";TRENTO;0461/992128;0461/497257;scuolainfanzia.gardolo@scuole.provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;
"Circolo di coordinamento n. 5";"Scuola dell'Infanzia di Trento Roncafort  ""Margit Levinson""";;"A carattere statale/provinciale";;;"MARTINA BASSETTI";"Via Dell Asilo, 8 38121";TRENTO;0461/960422;0461/497257;scuolainfanzia.roncafort@scuole.provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;
"Circolo di coordinamento n. 5";"Scuola dell'Infanzia di Terlago";;"A carattere statale/provinciale";;;"MARTINA BASSETTI";"Via Degasperi - Terlago, 7 38070";VALLELAGHI;0461/860304;0461/497257;scuolainfanzia.terlago@scuole.provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;
"Circolo di coordinamento n. 5";"Scuola dell'Infanzia di Trento  Sardagna";;"A carattere statale/provinciale";;;"MARTINA BASSETTI";"Via dei Caduti di Sardagna, 8 38123";TRENTO;0461/234186;0461/497257;scuolainfanzia.sardagna@scuole.provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;
"Circolo di coordinamento n. 5";"Scuola dell'Infanzia di Trento  Cadine  ""Il Melograno""";;"A carattere statale/provinciale";;;"MARTINA BASSETTI";"Via di Coltura, 3 38123";TRENTO;0461/866302;0461/497257;scuolainfanzia.cadine@scuole.provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;
"Circolo di coordinamento n. 5";"Scuola dell'Infanzia di Lasino";;"A carattere statale/provinciale";;;"MARTINA BASSETTI";"Via Lagolo - Lasino, 47 38076";MADRUZZO;0461/564600;0461/497257;scuolainfanzia.lasino@scuole.provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;
"Circolo di coordinamento n. 5";"Scuola dell'Infanzia di Calavino";;"A carattere statale/provinciale";;;"MARTINA BASSETTI";"Via Pedrini - Calavino, 28 38076";MADRUZZO;0461/564630;0461/497257;scuolainfanzia.calavino@scuole.provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;
"ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via Stazione Mori, 10 38068";ROVERETO;;;;;;;
"Circolo di coordinamento n. 3";"Scuola dell'Infanzia di Trento Madonna Bianca ""L'albero del sole""";;"A carattere statale/provinciale";;;"CHIARA NADALON";"Via Bettini, 3 38123";TRENTO;0461/922124;0461/497257;scuolainfanzia.madonnabianca@scuole.provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;
"Scuola dell'infanzia di Rovereto ""Rosmini""";"Scuola dell'Infanzia di Rovereto ""Rosmini""";;Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Corso Rosmini, 3 38068";ROVERETO;0464-421541;;rovereto.rosmini.presidente@fpsm.tn.it;;rovereto.rosmini.segretario@fpsm.tn.it;;
"Circolo di coordinamento n. 10";"Scuola dell'Infanzia di Pomarolo  ""Don Rainoldi""";;"A carattere statale/provinciale";;;"GINEVRA RELLA";"Via G.B. Adami, 10 38060";POMAROLO;0464/410211;0464/493115;scuolainfanzia.pomarolo@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Baselga di Piné";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Via del Municipio Vecchio, 2 38042";"BASELGA DI PINE'";0461/557640;0461/493495;scuolainfanzia.baselgadipine@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Vigolo Vattaro ""Giardino dell'Amicizia""";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Al Castello - Vigolo Vattaro, 10 38049";"ALTOPIANO DELLA VIGOLANA";0461/848577;"0461 491976";scuolainfanzia.vigolovattaro@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Miola di Pinè";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Via del Dos di Miola, 13 38042";"BASELGA DI PINE'";0461/557950;0461/493495;scuolainfanzia.miola@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
