main institute;institute type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;wikipedia municipality link
scuola dell'infanzia di cles;scuola dell'infanzia;paritaria/equiparata;;;ilaria mancini;via mattioli, 13 38023;cles;0463625164;;cles.presidente@fpsm.tn.it;;cles.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29977;https://it.wikipedia.org/wiki/Cles
scuola dell'infanzia di cloz e brez;scuola dell'infanzia;paritaria/equiparata;;;ilaria mancini;via di s stefano, 2/a 38028;novella;04631980632;;cloz.brez.presidente@fpsm.tn.it;;cloz.brez.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29979;https://it.wikipedia.org/wiki/Novella_(Italia)
scuola dell'infanzia di condino;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via roma - condino, 37 38083;borgo chiese;0465621009;;condino.presidente@fpsm.tn.it;;condino.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29981;https://it.wikipedia.org/wiki/Borgo_Chiese
scuola dell'infanzia di coredo;scuola dell'infanzia;paritaria/equiparata;;;ilaria mancini;via delle antiche fontane - coredo, 20 38012;predaia;0463536416;;coredo.segretario@fpsm.tn.it;;coredo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29983;https://it.wikipedia.org/wiki/Predaia
scuola dell'infanzia di cristo re -trento;scuola dell'infanzia;paritaria/equiparata;;;carmen fattori;via bresadola, 6 38121;trento;0461823359;;trento.cristore.segretario@fpsm.tn.it;;trento.cristore.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29985;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di crosano;scuola dell'infanzia;paritaria/equiparata;;;silvano medves;via s biagio, 30 38060;brentonico;0464395693;;crosano.segretario@fpsm.tn.it;;crosano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29987;https://it.wikipedia.org/wiki/Brentonico
"scuola dell'infanzia di daone ""asilo infantile di daone odv""";scuola dell'infanzia;paritaria/equiparata;;;doris losa;via re di castello - daone, 57 38080;valdaone;0465674060;;daone.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/29991;https://it.wikipedia.org/wiki/Valdaone
scuola dell'infanzia di denno;scuola dell'infanzia;paritaria/equiparata;;;ute pancher;via ossanna, 3 38010;denno;0461655960;;denno.segretario@fpsm.tn.it;;denno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29993;https://it.wikipedia.org/wiki/Denno
scuola dell'infanzia di dimaro;scuola dell'infanzia;paritaria/equiparata;;;roberta bertolas;via alla chiesa - dimaro, 26 38025;dimaro folgarida;0463974301;;dimaro.contabile@fpsm.tn.it;;dimaro.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29995;https://it.wikipedia.org/wiki/Dimaro_Folgarida
scuola dell'infanzia di faver;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;via perlaia - faver, 17 38030;altavalle;3287310914;;faver.presidente@fpsm.tn.it;;faver.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29997;https://it.wikipedia.org/wiki/Altavalle
scuola dell'infanzia di fiavè;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;piazza s sebastiano, 24 38075;fiavé;0465735129;;fiave.contabile@fpsm.tn.it;;fiave.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29999;https://it.wikipedia.org/wiki/Fiav%C3%A9
scuola dell'infanzia di fiera di primiero;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';viale marconi - pieve, 1 38054;primiero san martino di castrozza;0439762196;0439764911;fiera.presidente@fpsm.tn.it;;fiera.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30001;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza
scuola dell'infanzia di fondo;scuola dell'infanzia;paritaria/equiparata;;;ilaria mancini;piazza don stefenelli - fondo, 5 38020;borgo d'anaunia;0463831254;;fondo.presidente@fpsm.tn.it;;fondo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30003;https://it.wikipedia.org/wiki/Borgo_d%27Anaunia
scuola dell'infanzia di fornace;scuola dell'infanzia;paritaria/equiparata;;;mariangela simoncini;via del borgolet, 16 38040;fornace;0461849351;;fornace.presidente@fpsm.tn.it;;fornace.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30005;https://it.wikipedia.org/wiki/Fornace_(Italia)
scuola dell'infanzia di gardolo;scuola dell'infanzia;paritaria/equiparata;;;carmen fattori;via s anna, 9 38121;trento;0461990296;;gardolo.segretario@fpsm.tn.it;;gardolo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30007;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di ghiaie di gardolo;scuola dell'infanzia;paritaria/equiparata;;;carmen fattori;via del loghét, 69 38121;trento;0461990050;;ghiaie.segretario@fpsm.tn.it;;ghiaie.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30009;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di grigno;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via nazario sauro, 25 38055;grigno;0461765333;;grigno.presidente@fpsm.tn.it;;grigno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30011;https://it.wikipedia.org/wiki/Grigno
scuola dell'infanzia di ischia di pergine;scuola dell'infanzia;paritaria/equiparata;;;mariangela simoncini;piazza delle nogare, 2 38057;pergine valsugana;0461532285;;ischia.presidente@fpsm.tn.it;;ischia.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30013;https://it.wikipedia.org/wiki/Pergine_Valsugana
"scuola dell'infanzia di lavis "" madre maddalena di canossa odv""";scuola dell'infanzia;paritaria/equiparata;;;;via dei colli, 4 38015;lavis;0461240366;0461-249078;lavis.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/30015;https://it.wikipedia.org/wiki/Lavis
"scuola dell'infanzia di lizzana ""asilo infantile di lizzana odv""";scuola dell'infanzia;paritaria/equiparata;;;;via brigata mantova, 1 38068;rovereto;0464433395;;lizzana.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/61885;https://it.wikipedia.org/wiki/Rovereto
"scuola dell'infanzia di lizzanella ""asilo infantile di lizzanella odv""";scuola dell'infanzia;paritaria/equiparata;;;;corso verona, 109 38068;rovereto;0464432307;0464-400420;lizzanella.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/30017;https://it.wikipedia.org/wiki/Rovereto
scuola dell'infanzia di lodrone odv;scuola dell'infanzia;paritaria/equiparata;;;;salita alla bastia, 2 38089;storo;0465685253;;lodrone.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/30019;https://it.wikipedia.org/wiki/Storo
scuola dell'infanzia di lona;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;via s rocco, 14 38040;lona-lases;0461697101;;lona.presidente@fpsm.tn.it;;lona.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30021;https://it.wikipedia.org/wiki/Lona-Lases
scuola dell'infanzia di madonna di campiglio;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via serafini - madonna di campiglio, 13 38070;tre ville;0465442779;0465 442779;madonna.campiglio.segretario@fpsm.tn.it;;madonna.campiglio.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30023;https://it.wikipedia.org/wiki/Tre_Ville
scuola dell'infanzia di madrano;scuola dell'infanzia;paritaria/equiparata;;;mariangela simoncini;via d oltrefersina, 54 38057;pergine valsugana;0461552109;;madrano.segretario@fpsm.tn.it;;madrano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30025;https://it.wikipedia.org/wiki/Pergine_Valsugana
scuola dell'infanzia di malè;scuola dell'infanzia;paritaria/equiparata;;;roberta bertolas;via don rauzi, 6 38027;malé;0463901925;;male.presidente@fpsm.tn.it;;male.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30027;https://it.wikipedia.org/wiki/Mal%C3%A9_(Italia)
"scuola dell'infanzia di marco - rovereto ""g. e a. rosmini - serbati odv""";scuola dell'infanzia;paritaria/equiparata;;;;via alla stazione, 2 38068;rovereto;0464665395;0464/665395;marco.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/30029;https://it.wikipedia.org/wiki/Rovereto
scuola dell'infanzia di marter;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;piazza s margherita, 2 38050;roncegno terme;0461764505;;marter.segretario@fpsm.tn.it;;marter.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30031;https://it.wikipedia.org/wiki/Roncegno_Terme
"scuola dell'infanzia di martignano ""d. leone serafini""";scuola dell'infanzia;paritaria/equiparata;;;carmen fattori;via sabbionare, 3 38121;trento;0461820233;;martignano.segretario@fpsm.tn.it;;martignano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30033;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di masi di cavalese;scuola dell'infanzia;paritaria/equiparata;;;tiziana ceol;via damiano chiesa, 79 38033;cavalese;0462340557;;cavalese.presidente@fpsm.tn.it;;cavalese.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/92007;https://it.wikipedia.org/wiki/Cavalese
scuola dell'infanzia di massone;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;via maffei - san martino, 2 38062;arco;0464517719;;massone.presidente@fpsm.tn.it;;massone.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30037;https://it.wikipedia.org/wiki/Arco_(Italia)
scuola dell'infanzia di mechel;scuola dell'infanzia;paritaria/equiparata;;;ilaria mancini;via don luigi borghesi, 35 38023;cles;0463421247;;mechel.presidente@fpsm.tn.it;;mechel.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30039;https://it.wikipedia.org/wiki/Cles
scuola dell'infanzia di mezzano;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via iv novembre, 16 38050;mezzano;043967027;;mezzano.contabile@fpsm.tn.it;;mezzano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30041;https://it.wikipedia.org/wiki/Mezzano_(comune)
scuola dell'infanzia di mezzocorona;scuola dell'infanzia;paritaria/equiparata;;;elena ricci;via s giovanni bosco, 4 38016;mezzocorona;0461603933;;mezzocorona.presidente@fpsm.tn.it;;mezzocorona.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30043;https://it.wikipedia.org/wiki/Mezzocorona
scuola dell'infanzia di mezzolombardo;scuola dell'infanzia;paritaria/equiparata;;;elena ricci;corso del popolo, 34/b 38017;mezzolombardo;0461601324;;mezzolombardo.presidente@fpsm.tn.it;;mezzolombardo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30045;https://it.wikipedia.org/wiki/Mezzolombardo
scuola dell'infanzia di moena;scuola dell'infanzia;paritaria/equiparata;;;sara de zolt;strada don giovanni jori, 10 38035;moena;0462573277;;moena.presidente@fpsm.tn.it;;moena.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30047;https://it.wikipedia.org/wiki/Moena
scuola dell'infanzia di molina di ledro;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;via sartori - molina di ledro, 24/c 38067;ledro;0464876444;;molina.ledro.presidente@fpsm.tn.it;;molina.ledro.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30049;https://it.wikipedia.org/wiki/Ledro
scuola dell'infanzia di mollaro;scuola dell'infanzia;paritaria/equiparata;;;ute pancher;via della pausa - mollaro, 1 38012;predaia;0463469224;;mollaro.contabile@fpsm.tn.it;;mollaro.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30051;https://it.wikipedia.org/wiki/Predaia
scuola dell'infanzia di molveno;scuola dell'infanzia;paritaria/equiparata;;;elena ricci;piazza s carlo, 20 38018;molveno;0461586969;;molveno.presidente@fpsm.tn.it;;molveno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30053;https://it.wikipedia.org/wiki/Molveno
scuola dell'infanzia di montesover;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;via capitano santuari, 1 38048;sover;0461698351;;sover.presidente@fpsm.tn.it;;sover.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30055;https://it.wikipedia.org/wiki/Sover
scuola dell'infanzia di mori;scuola dell'infanzia;paritaria/equiparata;;;silvano medves;via scuole, 3 38065;mori;0464918156;;mori.segretario@fpsm.tn.it;;mori.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30057;https://it.wikipedia.org/wiki/Mori_(Italia)
scuola dell'infanzia di nago;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;localita tezze - nago,   38069;nago-torbole;0464506097;;nago.segretario@fpsm.tn.it;;nago.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30059;https://it.wikipedia.org/wiki/Nago-Torbole
scuola dell'infanzia di nave san rocco;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;via iv novembre, 34/a 38010;terre d'adige;0461870656;;nave.presidente@fpsm.tn.it;;nave.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30061;https://it.wikipedia.org/wiki/Terre_d%27Adige
scuola dell'infanzia di nomi;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;via baroni del moll, 2 38060;nomi;0464835294;;nomi.segretario@fpsm.tn.it;;nomi.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30063;https://it.wikipedia.org/wiki/Nomi_(Italia)
scuola dell'infanzia di ospedaletto;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via  don tosi, 14 38050;ospedaletto;3470362437;;ospedaletto.presidente@fpsm.tn.it;;ospedaletto.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30065;https://it.wikipedia.org/wiki/Ospedaletto
scuola dell'infanzia di padergnone;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;via alle cime - padergnone, 14 38070;vallelaghi;0461864358;;padergnone.presidente@fpsm.tn.it;;padergnone.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30069;https://it.wikipedia.org/wiki/Vallelaghi
scuola dell'infanzia di pedersano;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;via s antonio, 1 38060;villa lagarina;0464412151;;pedersano.presidente@fpsm.tn.it;;pedersano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30073;https://it.wikipedia.org/wiki/Villa_Lagarina
"scuola dell'infanzia di pergine  ""g.b. chimelli""";scuola dell'infanzia;paritaria/equiparata;;francesca parolari;;piazza garbari, 5 38057;pergine valsugana;0461502351;;asifchimelli@pec.it;;;;;https://www.vivoscuola.it/content/view/full/30075;https://it.wikipedia.org/wiki/Pergine_Valsugana
scuola dell'infanzia di pietramurata;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;piazza mercato, 11 38074;dro;0464507142;;pietramurata.presidente@fpsm.tn.it;;pietramurata.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30077;https://it.wikipedia.org/wiki/Dro
scuola dell'infanzia di pieve di bono;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via fiera - creto - pieve di bono, 9/b 38085;pieve di bono-prezzo;0465674083;;pieve.bono.presidente@fpsm.tn.it;;pieve.bono.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30081;https://it.wikipedia.org/wiki/Pieve_di_Bono-Prezzo
scuola dell'infanzia di pieve tesino;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via fratelli rizza', 14 38050;pieve tesino;0461594733;;pieve.tesino.presidente@fpsm.tn.it;;pieve.tesino.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30079;https://it.wikipedia.org/wiki/Pieve_Tesino
scuola dell'infanzia di pilcante;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;piazza vittorio veneto - pilcante, 19 38061;ala;0464672588;;pilcante.presidente@fpsm.tn.it;;pilcante.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30083;https://it.wikipedia.org/wiki/Ala_(Italia)
scuola dell'infanzia di pinzolo;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via al sole, 43 38086;pinzolo;0465501019;;pinzolo.presidente@fpsm.tn.it;;pinzolo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30085;https://it.wikipedia.org/wiki/Pinzolo
scuola dell'infanzia di ponte arche;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;via s giovanni bosco - ponte arche - bleggio inferiore, 7 38070;comano terme;0465702422;;ponte.arche.presidente@fpsm.tn.it;;ponte.arche.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30087;https://it.wikipedia.org/wiki/Comano_Terme
scuola dell'infanzia di povo;scuola dell'infanzia;paritaria/equiparata;;;ivana leonardelli;via pante', 1 38123;trento;0461810049;;povo.presidente@fpsm.tn.it;;povo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30089;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di pozza di trambileno;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;frazione vanza, 50 38068;trambileno;0464868074;;trambileno.presidente@fpsm.tn.it;;trambileno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30091;https://it.wikipedia.org/wiki/Trambileno
scuola dell'infanzia di predazzo;scuola dell'infanzia;paritaria/equiparata;;;sara de zolt;via gabrielli, 1 38037;predazzo;0462501312;;predazzo.presidente@fpsm.tn.it;;predazzo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30093;https://it.wikipedia.org/wiki/Predazzo
scuola dell'infanzia di pressano;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;via pilati, 16 38015;lavis;0461240394;;pressano.presidente@fpsm.tn.it;;pressano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30095;https://it.wikipedia.org/wiki/Lavis
scuola dell'infanzia di quadra - cavrasto;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;frazione larido, 10 38071;bleggio superiore;0465779575;;quadra.cavrasto.presidente@fpsm.tn.it;;quadra.cavrasto.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30097;https://it.wikipedia.org/wiki/Bleggio_Superiore
"scuola dell'infanzia di ranzo ""amici scuola infanzia di ranzo odv""";scuola dell'infanzia;paritaria/equiparata;;;;via al castel romano - ranzo - vezzano, 29 38070;vallelaghi;3387970838;;ranzo.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/30099;https://it.wikipedia.org/wiki/Vallelaghi
"scuola dell'infanzia di riva ""degasperi""";scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;largo caduti delle foibe, 2 38066;riva del garda;0464553578;;riva.rione.presidente@fpsm.tn.it;;riva.rione.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30103;https://it.wikipedia.org/wiki/Riva_del_Garda
"scuola dell'infanzia di riva ""giardino di infanzia odv""";scuola dell'infanzia;paritaria/equiparata;;;;viale roma, 32 38066;riva del garda;0464552360;0464-560456;rivagiardinodinfanzia@gmail.com;;;;;https://www.vivoscuola.it/content/view/full/30101;https://it.wikipedia.org/wiki/Riva_del_Garda
"scuola dell'infanzia di riva del garda  ""s. alessandro""";scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;via s alessandro, 10 38066;riva del garda;0464554051;;s.alessandro.presidente@fpsm.tn.it;;s.alessandro.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30105;https://it.wikipedia.org/wiki/Riva_del_Garda
scuola dell'infanzia di roncegno;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;via baldessari, 15 38050;roncegno terme;0461764199;;roncegno.presidente@fpsm.tn.it;;roncegno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30107;https://it.wikipedia.org/wiki/Roncegno_Terme
scuola dell'infanzia di ronchi valsugana;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;via marchi, 14 38050;ronchi valsugana;0461773197;;ronchi.valsugana.presidente@fpsm.tn.it;;ronchi.valsugana.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30109;https://it.wikipedia.org/wiki/Ronchi_Valsugana
scuola dell'infanzia di roncogno di pergine;scuola dell'infanzia;paritaria/equiparata;;francesca parolari;;piazza di s anna, 3 38057;pergine valsugana;0461502351;;asifchimelli@pec.it;;;;;https://www.vivoscuola.it/content/view/full/30111;https://it.wikipedia.org/wiki/Pergine_Valsugana
"scuola dell'infanzia di roncone  ""mario amistadi sciavina odv""";scuola dell'infanzia;paritaria/equiparata;;;;via lucchi - roncone, 1 38087;sella giudicarie;0465311525;0465-901285;roncone.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/30113;https://it.wikipedia.org/wiki/Sella_Giudicarie
scuola dell'infanzia di ronzo-chienis;scuola dell'infanzia;paritaria/equiparata;;;silvano medves;via del car, 40 38060;ronzo-chienis;0464802944;;ronzo.chienis.presidente@fpsm.tn.it;;ronzo.chienis.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30115;https://it.wikipedia.org/wiki/Ronzo-Chienis
"scuola dell'infanzia di rovereto ""clementino vannetti odv""";scuola dell'infanzia;paritaria/equiparata;;;;via s maria, 58 38068;rovereto;0464420061;;asilovannetti@gmail.com;;;;;https://www.vivoscuola.it/content/view/full/149207;https://it.wikipedia.org/wiki/Rovereto
"scuola dell'infanzia di rovereto ""rosmini""";scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;corso rosmini, 3 38068;rovereto;0464421541;;rovereto.rosmini.presidente@fpsm.tn.it;;rovereto.rosmini.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30119;https://it.wikipedia.org/wiki/Rovereto
scuola dell'infanzia di s. croce bleggio;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;frazione santa croce di bleggio inferiore, 7 38070;comano terme;0465779900;;s.croce.presidente@fpsm.tn.it;;s.croce.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30121;https://it.wikipedia.org/wiki/Comano_Terme
scuola dell'infanzia di s. lorenzo in banale;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;strada del toat - san lorenzo, 4 38078;san lorenzo dorsino;0465734005;;san.lorenzo.banale.segretario@fpsm.tn.it;;san.lorenzo.banale.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30123;https://it.wikipedia.org/wiki/San_Lorenzo_Dorsino
scuola dell'infanzia di s. margherita di ala;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;via gazzoletti - santa margherita, 35 38061;ala;0464696494;;s.margherita.presidente@fpsm.tn.it;;s.margherita.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30125;https://it.wikipedia.org/wiki/Ala_(Italia)
scuola dell'infanzia di sabbionara;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;piazza conciliazione, 3/b 38063;avio;0464683225;;sabbionara.presidente@fpsm.tn.it;;sabbionara.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30127;https://it.wikipedia.org/wiki/Avio
scuola dell'infanzia di san martino di c.;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via laghetto - san martino di castrozza, 30 38054;primiero san martino di castrozza;0439768666;;s.martino.castrozza.presidente@fpsm.tn.it;;s.martino.castrozza.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30129;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza
scuola dell'infanzia di sarche;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;via caffaro - sarche - calavino, 6 38076;madruzzo;0461564028;;sarche.presidente@fpsm.tn.it;;sarche.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30131;https://it.wikipedia.org/wiki/Madruzzo_(Italia)
scuola dell'infanzia di scurelle;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;via visintainer, 15 38050;scurelle;0461762268;;scurelle.presidente@fpsm.tn.it;;scurelle.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30133;https://it.wikipedia.org/wiki/Scurelle
scuola dell'infanzia di segno;scuola dell'infanzia;paritaria/equiparata;;;ute pancher;via sonora - segno - taio, 18 38012;predaia;0463468064;;segno.presidente@fpsm.tn.it;;segno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30135;https://it.wikipedia.org/wiki/Predaia
scuola dell'infanzia di segonzano;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;frazione stedro, 80 38047;segonzano;3273311981;;segonzano.presidente@fpsm.tn.it;;segonzano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30137;https://it.wikipedia.org/wiki/Segonzano
scuola dell'infanzia di serravalle;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;via ingenger tomasi - serravalle, 5 38061;ala;0464696304;;serravalle.presidente@fpsm.tn.it;;serravalle.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30139;https://it.wikipedia.org/wiki/Ala_(Italia)
"scuola dell'infanzia di serso ""don ochner odv"" ";scuola dell'infanzia;paritaria/equiparata;;;;via al casteler, 1 38057;pergine valsugana;0461533843;;serso.asilo@gmail.com;;scuola.donochner@email.it;;;https://www.vivoscuola.it/content/view/full/141891;https://it.wikipedia.org/wiki/Pergine_Valsugana
scuola dell'infanzia di smarano;scuola dell'infanzia;paritaria/equiparata;;;ilaria mancini;via torre - smarano, 6 38012;predaia;0463536702;;smarano.presidente@fpsm.tn.it;;smarano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30145;https://it.wikipedia.org/wiki/Predaia
scuola dell'infanzia di sopramonte;scuola dell'infanzia;paritaria/equiparata;;;carmen fattori;via canelli - sopramonte, 5 38123;trento;0461867021;;sopramonte.presidente@fpsm.tn.it;;sopramonte.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30147;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di spiazzo rendena;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via s vigilio, 5 38088;spiazzo;0465801326;;spiazzo.rendena.contabile@fpsm.tn.it;;spiazzo.rendena.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30149;https://it.wikipedia.org/wiki/Spiazzo
scuola dell'infanzia di spormaggiore;scuola dell'infanzia;paritaria/equiparata;;;ute pancher;via dell asilo, 2 38010;spormaggiore;04611827171;;spormaggiore.contabile@fpsm.tn.it;;spormaggiore.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30151;https://it.wikipedia.org/wiki/Spormaggiore
scuola dell'infanzia di stenico;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;piazza dante, 15 38070;stenico;0465771019;;stenico.presidente@fpsm.tn.it;;stenico.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30153;https://it.wikipedia.org/wiki/Stenico
